id,first_name,last_name,party,contest,other,color,photo
nasheed,Senator Jamilah,Nasheed,Democratic,state senate,,#278D28,https://pbs.twimg.com/profile_images/765208218972807169/yB2qhTKN.jpg
wright-jones,Robin,Wright-Jones,Democratic,state senate,,#3e59b4,http://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/4/6d/46df14f0-54cb-11e0-9f20-00127992bc8b/4e24ced997f60.preview-300.jpg
mott-oxford,Jeannette,Mott-Oxford,Democratic,state senate,,#E35D00,https://media.licdn.com/mpr/mpr/shrinknp_200_200/p/1/000/1be/1cd/39e14f2.jpg
slay13,Francis,Slay,Democratic,mayor13,,#E35D00,https://www.stlouis-mo.gov/government/departments/mayor/profiles/images/francis-g-slay-portrait.jpg
mathews,Jimmie,Matthews,Democratic,mayor13,,#3e59b4,http://media2.fdncms.com/riverfronttimes/imager/u/original/2570574/jimmie_matthews_image.jpg
reed,Lewis,Reed,Democratic,mayor13,,#278D28,http://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/6/cc/6ccfa02f-054a-53bc-8622-d7310aa39c09/4ffda1d96dd1f.image.jpg
clay,Lacy,Clay,Democratic,congress12,,#278D28,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Williamclay.jpeg/220px-Williamclay.jpeg
britton,Candice,Britton,Democratic,congress12,,#3e59b4,https://donnabrazz.files.wordpress.com/2010/05/britton.jpg?w=497
carnahan,Russ,Carnahan,Democratic,congress12,,#E35D00,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Russcarnahan.jpeg/220px-Russcarnahan.jpeg
gardner,Kimberly,Gardner,Democratic,circuit attorney,,#278D28,
hamacher,Patrick,Hamacher,Democratic,circuit attorney,,#3e59b4,
harmon,Steve,Harmon,Democratic,circuit attorney,,#E35D00,
carl,Mary,Carl,Democratic,circuit attorney,,#a200e3,
