vtd,nasheed12,mott-oxford,wright-jones,slay13,mathews,reed,clay,britton,carnahan,gardner,hamacher,harmon,carl,nasheed16,hassinger16,wessels,wahby,jones,boyd,cmtjones,cmtmay,FrenchMayor17,ReedMayor17,BoydMayor16,JonesMayor17,KrewsonMayor17,HaasMayor17,MatthewsMayor17,YesOnP,NoOnP
10101,0,0,0,51,6,197,233,4,23,173,7,33,12,0,0,5,8,152,91,0,0,58,72,3,69,17,1,0,100,0
10102,0,0,0,55,3,208,249,2,16,195,5,33,3,0,0,10,15,168,67,0,0,62,63,9,84,17,0,2,100,0
10103,191,18,127,43,8,257,309,7,31,191,8,60,14,244,27,15,20,157,136,0,0,82,91,7,66,17,1,0,100,0
10104,140,6,90,40,4,176,221,4,17,163,5,25,6,182,19,8,5,140,83,0,0,59,64,7,69,9,0,0,100,0
10105,0,0,0,85,9,220,319,2,21,196,2,27,14,0,0,10,23,210,88,0,0,77,68,11,118,19,0,1,100,0
10106,0,0,0,71,12,209,324,2,15,216,14,85,20,0,0,14,9,198,106,0,0,86,91,17,103,20,2,3,100,0
10107,14,0,13,3,0,22,27,0,0,89,4,9,6,101,7,0,1,19,7,0,0,6,16,0,8,2,0,0,100,0
10201,19,4,8,12,2,53,26,0,7,22,7,6,4,30,9,1,4,15,13,0,0,14,24,2,12,9,0,0,100,0
10202,34,1,13,12,0,32,46,0,3,22,1,8,2,31,3,5,5,24,14,0,0,4,12,0,1,1,0,0,100,0
10203,0,0,0,53,1,161,183,2,21,107,17,41,14,0,0,27,15,82,73,0,0,48,87,8,48,28,1,2,100,0
10204,102,13,64,35,3,123,165,4,16,78,5,49,4,116,18,13,16,91,63,0,0,36,51,3,34,19,0,1,100,0
10205,0,0,0,58,9,261,341,5,33,220,6,126,16,0,0,12,14,218,119,0,0,80,103,15,109,40,2,2,100,0
10206,6,1,5,2,0,1,9,1,3,6,1,2,0,5,4,2,1,6,3,0,0,0,11,0,0,0,0,0,100,0
10207,0,0,0,59,3,244,325,6,37,223,13,96,15,0,0,15,21,188,130,0,0,76,111,12,99,44,0,1,100,0
10208,0,0,0,40,1,259,289,5,17,183,5,79,10,0,0,15,17,161,101,0,0,76,78,13,85,26,0,0,100,0
10301,64,9,33,16,1,52,91,1,18,51,4,13,8,59,19,6,20,51,32,0,0,29,21,9,25,3,1,0,100,0
10302,131,18,90,42,6,212,208,8,25,149,8,51,11,196,18,7,32,104,92,0,0,81,87,13,72,12,1,2,100,0
10303,92,13,45,43,1,140,146,2,11,92,7,19,9,114,14,10,29,73,35,0,0,30,43,6,39,3,0,1,100,0
10304,86,23,25,54,3,112,113,3,19,89,6,34,9,113,24,7,29,53,43,0,0,40,64,6,52,21,0,4,100,0
10305,95,8,37,37,8,107,142,2,10,76,2,18,4,92,6,3,27,47,61,0,0,47,47,8,26,3,0,1,100,0
10306,115,7,64,32,2,145,171,1,17,107,2,38,5,142,11,2,37,92,53,0,0,43,60,9,40,4,0,1,100,0
10307,132,17,53,35,2,175,186,4,17,146,5,31,7,177,16,13,37,69,70,0,0,53,83,8,56,13,0,0,100,0
10308,74,3,44,23,3,94,111,6,7,74,4,17,10,99,12,6,30,30,54,0,0,35,40,3,31,5,0,0,100,0
10309,45,32,24,58,5,76,55,9,41,50,23,26,23,83,41,21,17,27,35,0,0,32,22,3,47,25,4,2,100,0
